eventid,year,month,day,approxdate,extended,resolution,country,province,city,latitude,longitude,specificity,near_city,location,summary,crit1,crit2,crit3,doubted,alternative,multiple_attacks,success,suicide,attacktype1,attacktype2,attacktype3,targtype1,targsubtype1,corp1,target1,natlty1,targtype2,targsubtype2,corp2,target2,natlty2,targtype3,targsubtype3,corp3,target3,natlty3,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,lone_wolf,nperps,nperpcap,claimed,claimmode,claim2,claimmode2,claim3,claimmode3,compclaim,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,weaptype4,weapsubtype4,weapdetail,nkill,nkillus,nkillperp,nwound,nwoundus,nwoundperp,property,propextent,propextent,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,vehiclehij,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,nreleased,addnotes,scite1,scite2,scite3,intlog,intideo,intmisc,related
199207060016,1992,7,6,,0,,Mali,Mopti,Dioura,14.885063,-5.2202210000000004,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,Village of Dioura,Mali,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,1.0,,,0.0,,,1,,,,,1.0,2.0,0.0,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199207060017,1992,7,6,,0,,Mali,Gao,Gao,16.273971,-0.041066,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Race/Ethnicity Identified,,Tuareg and Arab Residents*,Mali,,,,,,,,,,,Black Malian Group,,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,4.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0,0,0,
199207070007,1992,7,7,,0,,Mali,Mopti,Dombara,15.074595,-3.25133,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,Village of Doumbera,Mali,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199207100006,1992,7,10,,0,,Niger,Niamey,Niamey,13.516667,2.116667,1.0,0,,,1,1,1,-9,,0.0,1,0,Unknown,,,Private Citizens & Property,Race/Ethnicity Identified,,African-American Female,United States,,,,,,,,,,,Unknown,,,,,,,0,,,,,,,,,,Unknown,,,,,,,,,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,1,
199207210014,1992,7,21,,0,,Niger,Tahoua,Kao,15.410785,5.728666,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,town of Kao,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,2.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199207210015,1992,7,21,,0,,Niger,Tillaberi,Ayorou,14.731389,0.919444,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Unknown,,,not stated,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,0.0,,,2.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199208050004,1992,8,5,,0,,Niger,Agadez,Agadez,16.974169,7.986535,1.0,1,,,1,1,1,0,,0.0,1,0,Assassination,,,Government (General),"Government Personnel (excluding police, military)",Government,Village Chief Sarki Sadi,Niger,,,,,,,,,,,Tuareg extremists,Rebels,,,,,,0,,,,,,,,,,Unknown,,,,,,,,,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199209140011,1992,9,14,,0,,Niger,Tahoua,Tilia,16.132389,4.787796,1.0,1,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",,Desert Camp,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,2.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199209190009,1992,9,19,,0,,Niger,Agadez,Agadez,16.974169,7.986535,1.0,1,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Transportation,Highway/Road/Toll/Traffic Signal,,2 vehicles Agadez-arlit hightway,Niger,,,,,,,,,,,Air and Azawak Liberation Front,,,,,,,0,,,,,,,,,,Incendiary,,,,,,,,Incendiary,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),30000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0,0,0,
199210010003,1992,10,1,,0,,Niger,Agadez,Tabelot,17.571667,8.940556,2.0,0,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,Business,,,Market Vendors Group,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,2.0,,,2.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
